10,10,10,10,10,10,10,10,10,10,10,9,9,7,2
10,10,10,10,10,10,10,10,10,10,9,8,8,5,1
10,10,10,10,10,10,10,10,10,10,10,8,7,1,2
10,10,10,10,10,10,10,10,10,9,10,9,7,2,2
10,10,10,10,10,10,10,10,10,9,10,6,2,1,0
10,10,10,10,10,10,10,10,10,9,7,6,4,2,1
10,10,10,10,10,10,10,10,10,9,9,6,2,0,0
10,10,10,10,10,10,10,10,9,9,7,5,0,0,0
10,10,10,10,10,10,10,10,10,9,3,0,0,0,0
10,10,10,10,10,10,10,10,9,6,5,2,0,1,0
10,10,10,10,10,10,10,10,8,3,1,0,0,0,0
10,10,10,10,10,10,10,9,8,6,1,0,0,0,0
10,10,10,10,10,10,9,8,8,2,0,0,0,0,0
10,10,10,10,10,10,9,9,8,1,0,0,0,0,0
10,10,10,10,10,10,9,8,3,1,0,0,0,0,0
10,10,10,10,10,10,8,4,4,2,0,0,0,0,0
10,10,10,10,10,10,7,4,2,0,0,0,0,0,0
10,10,10,10,10,8,6,2,0,0,0,0,0,0,0
10,10,10,10,10,8,3,1,0,0,0,0,0,0,0
10,10,10,10,10,7,1,1,0,0,0,0,0,0,0
10,10,10,10,10,5,5,0,0,0,0,0,0,0,0
10,10,10,10,10,3,0,0,0,0,0,0,0,0,0
10,10,10,10,5,2,0,0,0,0,0,0,0,0,0
10,10,10,9,4,2,0,0,0,0,0,0,0,0,0
10,10,10,9,3,0,0,0,0,0,0,0,0,0,0
10,10,10,6,1,0,0,0,0,0,0,0,0,0,0
10,10,9,3,0,0,0,0,0,0,0,0,0,0,0
10,10,7,3,0,0,0,0,0,0,0,0,0,0,0
10,10,6,0,0,0,0,0,0,0,0,0,0,0,0
10,8,2,1,0,0,0,0,0,0,0,0,0,0,0
10,7,1,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
